Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-17,162.25,179.0,161.37,166.83,196030557,EQ,1031196,190.1,88503070
2025-09-18,171.5,174.0,167.4,170.16,62784183,EQ,291357,215.49,15303010
2025-09-19,170.0,187.5,167.56,184.81,128767459,EQ,522389,246.5,20666541
2025-09-22,188.9,201.18,182.0,186.73,124119236,EQ,533265,232.75,20022301
2025-09-23,185.3,185.3,176.2,178.57,34010401,EQ,174783,194.59,7158463
2025-09-24,177.6,183.9,174.0,175.4,36354429,EQ,192325,189.03,6159182
2025-09-25,175.7,178.47,170.0,170.43,22954239,EQ,141034,162.76,4948017
2025-09-26,170.75,176.3,169.18,171.63,24564724,EQ,105262,233.37,44651562025-09-29,173.21,174.78,168.46,169.9,11957021,EQ,54814,218.14,3393336
2025-09-30,169.0,169.78,162.5,167.38,12688739,EQ,57672,220.02,3577805
2025-10-01,167.5,171.88,166.11,170.09,8268798,EQ,47914,172.58,2089468
2025-10-03,171.0,175.3,168.1,174.39,9451851,EQ,,,
